Date,Adj Close_SAN.MC,Close_SAN.MC,Dividends_SAN.MC,High_SAN.MC,Low_SAN.MC,Open_SAN.MC,Stock Splits_SAN.MC,Volume_SAN.MC,tasa_interes,inflacion,PIB,desempleo,tipo_cambio,liquidez_M2,materias_primas,politica_monetaria,sentimiento_global,inflacion_eurozona,desempleo_espana,"('VIX', '^VIX')"
2003-05-21,1.6785688400268555,5.487276077270508,0.0,5.6776862144470215,5.444001197814941,5.487276077270508,0.0,30807998,1.26,182.9,14743.567,6.1,1.1707,5965.3,63.1125094945253,3.57,6.8,81.0,11.3,21.209999084472656
2003-05-22,1.728873610496521,5.651721000671387,0.0,5.651721000671387,5.521895885467529,5.651721000671387,0.0,24527732,1.26,182.9,14743.567,6.1,1.17,5965.3,63.1125094945253,3.57,6.86,81.0,11.3,19.780000686645508
2003-05-23,1.7474066019058228,5.712306022644043,0.0,5.7469258308410645,5.599791049957275,5.712306022644043,0.0,23648967,1.26,182.9,14743.567,6.1,1.1786,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,19.170000076293945
2003-05-26,1.7553486824035645,5.738271236419678,0.0,5.816165924072266,5.712306022644043,5.738271236419678,0.0,12451741,1.26,182.9,14743.567,6.1,1.1786,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,19.170000076293945
2003-05-27,1.7447593212127686,5.703650951385498,0.0,5.7469258308410645,5.565170764923096,5.703650951385498,0.0,41765829,1.26,182.9,14743.567,6.1,1.1853,5965.3,63.1125094945253,3.57,6.88,81.0,11.3,19.989999771118164
2003-05-28,1.7950634956359863,5.868095874786377,0.0,5.868095874786377,5.772891044616699,5.868095874786377,0.0,32683173,1.26,182.9,14743.567,6.1,1.1742,5965.3,63.1125094945253,3.57,6.89,81.0,11.3,20.030000686645508
2003-05-29,1.8003584146499634,5.885406017303467,0.0,5.9373369216918945,5.807510852813721,5.885406017303467,0.0,32057313,1.26,182.9,14743.567,6.1,1.1835,5965.3,63.1125094945253,3.57,6.87,81.0,11.3,20.43000030517578
2003-05-30,1.821539044380188,5.954647064208984,0.0,5.997921943664551,5.807510852813721,5.954647064208984,0.0,37526929,1.26,182.9,14743.567,6.1,1.1766,5965.3,63.1125094945253,3.57,6.81,81.0,11.3,19.469999313354492
2003-06-02,1.8506624698638916,6.049851894378662,0.0,6.075817108154297,5.954647064208984,6.049851894378662,0.0,35221647,1.26,182.9,14743.567,6.1,1.1744,5965.3,63.1125094945253,3.57,6.66,81.1,11.5,20.850000381469727
2003-06-03,1.8427200317382812,6.0238871574401855,0.0,6.0238871574401855,5.911372184753418,6.0238871574401855,0.0,27313393,1.26,182.9,14743.567,6.1,1.1702,5965.3,63.1125094945253,3.57,6.74,81.1,11.5,20.84000015258789
